,open_2,low_2,high_2,close_2,volume_2
2006-06-03,204.13,201.54,204.7,202.3,19866.0
2006-06-04,204.13,201.54,204.7,202.3,19866.0
2006-06-05,202.3,202.11,204.38,204.29,19443.0
2006-06-06,204.28,203.34,205.62,204.74,19421.0
2006-06-07,204.74,203.91,206.05,204.45,19216.0
2006-06-08,204.45,204.17,209.46,208.46,23747.0
2006-06-09,208.46,207.49,209.69,208.32,18020.0
2006-06-10,208.46,207.49,209.69,208.32,18020.0
2006-06-11,208.46,207.49,209.69,208.32,18020.0
2006-06-12,208.32,207.27,213.24,212.98,17615.0
2006-06-13,212.98,212.98,216.09,214.49,23509.0
2006-06-14,214.49,212.91,215.57,214.07,21908.0
2006-06-15,214.07,212.89,217.26,215.63,19494.0
2006-06-16,215.65,214.45,217.35,216.03,18541.0
2006-06-17,215.65,214.45,217.35,216.03,18541.0
2006-06-18,215.65,214.45,217.35,216.03,18541.0
2006-06-19,216.04,215.76,220.23,219.25,16178.0
2006-06-20,219.26,218.07,220.52,218.54,17930.0
2006-06-21,218.54,218.21,221.02,218.51,14997.0
2006-06-22,218.5,217.47,221.91,220.36,18536.0
2006-06-23,220.35,220.25,225.51,222.84,18056.0
2006-06-24,220.35,220.25,225.51,222.84,18056.0
2006-06-25,220.35,220.25,225.51,222.84,18056.0
2006-06-26,222.84,221.7,224.28,221.94,18041.0
2006-06-27,221.93,220.96,222.64,221.27,17663.0
